nama,kode_wilayah,id_level_wilayah,mst_kode_wilayah,induk_provinsi,kode_wilayah_induk_provinsi,induk_kabupaten,kode_wilayah_induk_kabupaten,kirim_total,sekolah_total,persen
Kab. Blitar,051500  ,2,050000  ,Prov. Jawa Timur,050000  ,,,11,11,100
Kab. Bojonegoro,050500  ,2,050000  ,Prov. Jawa Timur,050000  ,,,13,13,100
Kab. Bondowoso,052200  ,2,050000  ,Prov. Jawa Timur,050000  ,,,5,5,100
Kab. Gresik,050100  ,2,050000  ,Prov. Jawa Timur,050000  ,,,8,8,100
Kab. Jember,052400  ,2,050000  ,Prov. Jawa Timur,050000  ,,,10,10,100
Kab. Jombang,050400  ,2,050000  ,Prov. Jawa Timur,050000  ,,,16,16,100
Kab. Kediri,051300  ,2,050000  ,Prov. Jawa Timur,050000  ,,,26,26,100
Kab. Lamongan,050700  ,2,050000  ,Prov. Jawa Timur,050000  ,,,9,9,100
Kab. Lumajang,052100  ,2,050000  ,Prov. Jawa Timur,050000  ,,,8,8,100
Kab. Madiun,050800  ,2,050000  ,Prov. Jawa Timur,050000  ,,,11,11,100
Kab. Magetan,051000  ,2,050000  ,Prov. Jawa Timur,050000  ,,,8,8,100
Kab. Malang,051800  ,2,050000  ,Prov. Jawa Timur,050000  ,,,13,13,100
Kab. Mojokerto,050300  ,2,050000  ,Prov. Jawa Timur,050000  ,,,15,15,100
Kab. Nganjuk,051400  ,2,050000  ,Prov. Jawa Timur,050000  ,,,11,11,100
Kab. Ngawi,050900  ,2,050000  ,Prov. Jawa Timur,050000  ,,,5,5,100
Kab. Pamekasan,052600  ,2,050000  ,Prov. Jawa Timur,050000  ,,,6,6,100
Kab. Pasuruan,051900  ,2,050000  ,Prov. Jawa Timur,050000  ,,,8,8,100
Kab. Ponorogo,051100  ,2,050000  ,Prov. Jawa Timur,050000  ,,,6,6,100
Kab. Probolinggo,052000  ,2,050000  ,Prov. Jawa Timur,050000  ,,,5,5,100
Kab. Sampang,052700  ,2,050000  ,Prov. Jawa Timur,050000  ,,,2,2,100
Kab. Sidoarjo,050200  ,2,050000  ,Prov. Jawa Timur,050000  ,,,31,31,100
Kab. Situbondo,052300  ,2,050000  ,Prov. Jawa Timur,050000  ,,,3,3,100
Kab. Sumenep,052800  ,2,050000  ,Prov. Jawa Timur,050000  ,,,4,4,100
Kab. Trenggalek,051700  ,2,050000  ,Prov. Jawa Timur,050000  ,,,3,3,100
Kab. Tuban,050600  ,2,050000  ,Prov. Jawa Timur,050000  ,,,5,5,100
Kab. Tulungagung,051600  ,2,050000  ,Prov. Jawa Timur,050000  ,,,12,12,100
Kota Batu,056800  ,2,050000  ,Prov. Jawa Timur,050000  ,,,2,2,100
Kota Blitar,056500  ,2,050000  ,Prov. Jawa Timur,050000  ,,,6,6,100
Kota Kediri,056300  ,2,050000  ,Prov. Jawa Timur,050000  ,,,5,5,100
Kota Madiun,056200  ,2,050000  ,Prov. Jawa Timur,050000  ,,,7,7,100
Kota Malang,056100  ,2,050000  ,Prov. Jawa Timur,050000  ,,,14,14,100
Kota Mojokerto,056400  ,2,050000  ,Prov. Jawa Timur,050000  ,,,5,5,100
Kota Pasuruan,056600  ,2,050000  ,Prov. Jawa Timur,050000  ,,,3,3,100
Kab. Bangkalan,052900  ,2,050000  ,Prov. Jawa Timur,050000  ,,,4,4,100
Kab. Banyuwangi,052500  ,2,050000  ,Prov. Jawa Timur,050000  ,,,42,43,97
Kota Surabaya,056000  ,2,050000  ,Prov. Jawa Timur,050000  ,,,39,40,97
Kab. Pacitan,051200  ,2,050000  ,Prov. Jawa Timur,050000  ,,,4,5,80
Kota Probolinggo,056700  ,2,050000  ,Prov. Jawa Timur,050000  ,,,3,4,75
